WO_NO,EQP_TAG,DETC_DT,STRT_DT,END_DT,MNT_TYPE,FAIL_MODE,DOWN_MIN,PART_CHG,WRKR_ID,WRK_TEAM,REMARK
WO-2024-00578,P1-SP2-CRS01,2024-04-06 10:02,2024-04-06 11:43,2024-04-06 15:02,BM,LUB,80,N,MT-1012,MT-B,급유 불량
WO-2024-00579,P1-BF1-BLW01,2024-04-06 14:39,2024-04-06 15:37,2024-04-06 18:31,TBM,,0,N,MT-1011,MT-B,TBM 점검
WO-2024-00580,P1-SP2-EXF01-MTR,2024-04-06 15:53,2024-04-06 18:50,2024-04-06 23:33,TBM,,155,Y,MT-1009,MT-B,월간 점검 완료
WO-2024-00581,P1-SP1-EXF01,2024-04-06 18:30,2024-04-06 22:32,2024-04-07 00:08,BM,MAL,60,N,MT-1020,MT-D,동작 불량
WO-2024-00582,P1-CR1-PMP01,2024-04-06 21:28,2024-04-06 21:55,2024-04-07 00:31,BM,UNB,130,Y,MT-1020,MT-D,불평형 의심
WO-2024-00583,P1-BF2-PCI01,2024-04-07 06:10,2024-04-07 06:29,2024-04-07 09:11,TBM,,161,Y,MT-1016,MT-C,"1호기 재발, 정기점검 - 이상없음"
WO-2024-00584,P1-SP2-CRS01,2024-04-07 06:45,2024-04-07 09:10,2024-04-07 12:47,TBM,,217,N,MT-1017,MT-C,정기점검 - 이상없음
WO-2024-00585,P1-CR1-CRN01,2024-04-07 07:54,2024-04-07 11:00,2024-04-07 11:59,TBM,WER,59,N,MT-1016,MT-C,마모 진행
WO-2024-00586,P1-BF1-CAS01,2024-04-07 14:39,2024-04-07 16:40,2024-04-07 22:21,BM,WER,340,N,MT-1018,MT-C,"1호기 재발, WEAR 확인"
WO-2024-00587,P1-CR1-PMP02,2024-04-07 15:34,2024-04-07 18:04,2024-04-07 19:52,TBM,,107,N,MT-1014,MT-C,정기점검 - 이상없음
WO-2024-00588,P1-CR1-PMP03,2024-04-07 19:16,2024-04-07 20:24,2024-04-08 00:25,TBM,,165,N,MT-1006,MT-A,TBM 점검
WO-2024-00589,P1-SM1-DCF01,2024-04-07 22:45,2024-04-08 04:11,2024-04-09 02:25,BM,WER,0,Y,MT-1002,MT-A,"  1호기 재발, 라이너 마모 "
WO-2024-00590,P1-CC1-INS01,2024-04-08 06:56,2024-04-17 20:49,2024-04-18 03:59,CBM,ETC,0,N,MT-1024,MT-D,특이사항
WO-2024-00591,P1-SP1-EXF01-MTR,2024-04-07 23:01,2024-04-08 01:24,2024-04-08 05:32,TBM,,0,N,MT-1004,MT-A,"1호기 재발, 계획 점검 수행"
WO-2024-00592,P1-CC1-SEG02,2024-04-08 07:41,2024-04-08 11:13,2024-04-08 13:14,TBM,,0,N,MT-1023,MT-D,월간 점검 완료
WO-2024-00593,P1-CC2-INS01,2024-04-08 17:52,2024-04-08 19:57,2024-04-08 23:38,BM,ELE,220,N,MT-1024,MT-D,  인버터 알람 
WO-2024-00594,P1-BF1-HSV03,2024-04-09 07:07,2024-04-09 10:40,2024-04-09 12:54,TBM,,90,Y,MT-1003,MT-A,"3호기 재발, 순회점검 후속"
WO-2024-00595,P1-CC1-TUN01,2024-04-09 07:48,2024-04-09 11:58,2024-04-09 15:55,BM,ETC,237,N,MT-1006,MT-A,현상 재현 안됨
WO-2024-00596,P1-SP2-EXF01,2024-04-09 14:44,2024-04-10 03:52,2024-04-10 11:17,CBM,WER,444,N,MT-1003,MT-A,표면 마모 확인
WO-2024-00597,P1-CR1-CAL01,2024-04-09 14:55,2024-04-09 17:00,2024-04-09 19:09,TBM,,128,Y,MT-1004,MT-A,  정기점검검 - 이상없음 
WO-2024-00598,P1-BF2-HSV02,2024-04-10 06:45,2024-04-10 08:34,2024-04-10 09:21,TBM,,46,N,MT-1011,MT-B,"2호기 재발, TBM 점검"
WO-2024-00599,P1-CC2-SEG03,2024-04-10 07:01,2024-04-10 09:32,2024-04-10 13:50,BM,WER,175,N,MT-1011,MT-B,라이너 마모
WO-2024-00600,P1-SP2-SNM01,2024-04-10 15:12,2024-04-10 18:42,2024-04-10 21:56,TBM,,193,Y,MT-1010,MT-B,TBM 점검검
WO-2024-00601,P1-CR1-PMP01,2024-04-10 20:51,2024-04-18 12:12,2024-04-18 15:52,CBM,ELE,80,N,MT-1024,MT-D,
WO-2024-00602,P1-CC2-INS01,2024-04-10 22:51,2024-04-14 17:18,2024-04-14 19:44,CBM,ELE,90,N,MT-1019,MT-D,"1호기 재발, ELE 이상"
WO-2024-00603,P1-BF1-PCI01,2024-04-11 07:38,2024-04-11 09:25,2024-04-11 13:23,TBM,,165,N,MT-1016,MT-C,정기점검 - 이상없음
WO-2024-00604,P1-SP2-DCF02,2024-04-11 10:34,2024-04-11 14:33,2024-04-11 16:44,TBM,,0,Y,MT-1014,MT-C,계획 점검 수행
WO-2024-00605,P1-CR1-SPM01,2024-04-11 14:01,2024-04-16 19:01,2024-04-16 20:44,CBM,,102,Y,MT-1017,MT-C,현상 재현 안됨
WO-2024-00606,P1-CR1-WLD01,2024-04-11 14:17,2024-04-20 13:52,2024-04-20 18:17,CBM,SEL,264,Y,MT-1017,MT-C,누수 발생
WO-2024-00607,P1-SP1-AGT01,2024-04-11 15:10,2024-04-11 18:18,2024-04-11 22:31,TBM,,155,N,MT-1017,MT-C,순회점검 후속
WO-2024-00608,P1-BF1-CAS01,2024-04-11 22:49,2024-04-12 00:00,2024-04-12 02:45,TBM,,165,Y,MT-1002,MT-A,"1호기 재발, 순회점검 후속"
WO-2024-00609,P1-SP2-AGT01-MTR,2024-04-12 03:14,2024-04-12 06:37,2024-04-12 08:28,TBM,,111,N,MT-1009,MT-B,점검 이상없음
WO-2024-00610,P1-SM1-CRN02,2024-04-12 06:02,2024-04-12 07:13,2024-04-12 09:04,BM,BRG,110,N,MT-1020,MT-D,"2호기 재발, 베어링 이상음"
WO-2024-00611,P1-CC2-INS01,2024-04-12 07:45,2024-04-14 08:52,2024-04-14 14:25,CBM,ELE,300,Y,MT-1019,MT-D,전류 불안정
WO-2024-00612,P1-SM1-CRN01,2024-04-12 08:46,2024-04-12 10:52,2024-04-12 14:43,TBM,,230,N,MT-1020,MT-D,순회점검 후속
WO-2024-00613,P1-CC1-INS01,2024-04-12 14:21,2024-04-12 16:20,2024-04-12 20:22,TBM,SEL,0,N,MT-1022,MT-D,
WO-2024-00614,P1-CC1-INS01,2024-04-12 14:27,2024-04-12 18:55,2024-04-12 22:27,BM,ETC,211,N,MT-1021,MT-D,원인 미상
WO-2024-00615,P1-CC1-SEG03,2024-04-12 15:13,2024-04-12 19:10,2024-04-12 22:45,BM,SEL,130,N,MT-1024,MT-D,냉각수 누설
WO-2024-00616,P1-CR1-PKL01,2024-04-12 22:33,2024-04-13 00:00,2024-04-13 02:57,BM,SEL,177,N,MT-1012,MT-B,
WO-2024-00617,P1-SM1-RHD01,2024-04-13 02:40,2024-04-13 05:47,2024-04-13 14:58,BM,ETC,550,Y,MT-1017,MT-C,특이사항
WO-2024-00618,P1-SP1-SNM01,2024-04-13 06:23,2024-04-13 08:09,2024-04-13 13:07,TBM,ELE,0,N,MT-1003,MT-A,인버터 알람
WO-2024-00619,P1-CC2-SEG02,2024-04-13 06:03,2024-04-13 06:44,2024-04-13 07:30,TBM,,30,N,MT-1004,MT-A,
WO-2024-00620,P1-SP2-IGF01,2024-04-13 06:52,2024-04-13 08:20,2024-04-13 10:45,TBM,,55,N,MT-1005,MT-A,
WO-2024-00621,P1-SP1-MIX02,2024-04-13 12:04,2024-04-13 12:36,2024-04-13 16:45,TBM,,0,N,MT-1006,MT-A,  계획 점검 수행 
WO-2024-00622,P1-CC1-SEG01,2024-04-13 14:00,2024-04-13 19:52,2024-04-13 21:24,BM,ETC,0,Y,MT-1006,MT-A,확인 중
WO-2024-00623,P1-SP1-DCF01,2024-04-13 23:14,2024-04-14 00:53,2024-04-14 09:46,BM,,533,N,MT-1013,MT-C,재점검 필요
WO-2024-00624,P1-CC2-SEG02,2024-04-14 06:31,2024-04-14 11:43,2024-04-14 19:12,BM,LUB,275,N,MT-1009,MT-B,
WO-2024-00625,P1-CC2-PMP01,2024-04-14 06:51,2024-04-14 09:42,2024-04-14 13:10,TBM,,0,N,MT-1008,MT-B,순회점검 후속
WO-2024-00626,P1-CC1-SEG01,2024-04-14 07:09,2024-04-14 07:41,2024-04-14 08:59,TBM,,78,N,MT-1011,MT-B,정기점검 - 이상없음
WO-2024-00627,P1-CR1-CAL01,2024-04-14 15:04,2024-04-23 15:27,2024-04-23 18:29,CBM,,105,N,MT-1010,MT-B,확인 중
WO-2024-00628,P1-SP1-DCF01,2024-04-14 15:45,2024-04-14 21:39,2024-04-15 19:00,BM,,960,N,MT-1007,MT-B,재점검검 필요
WO-2024-00629,P1-CC2-MLD01,2024-04-15 01:33,2024-04-15 02:52,2024-04-15 07:29,TBM,,255,N,MT-1005,MT-A,월간 점검 완료
WO-2024-00630,P1-BF1-BFR01,2024-04-15 14:12,2024-04-15 18:05,2024-04-15 21:12,TBM,,186,N,MT-1016,MT-C,
WO-2024-00631,P1-SP2-CLR01,2024-04-15 22:14,2024-04-15 22:27,2024-04-16 02:53,TBM,,265,N,MT-1004,MT-A,월간 점검 완료
WO-2024-00632,P1-CC1-PMP02,2024-04-16 07:34,2024-04-16 11:33,2024-04-16 15:38,TBM,,245,N,MT-1019,MT-D,정기점검 - 이상없음
WO-2024-00633,P1-CR1-PKL01,2024-04-16 07:57,2024-04-16 10:02,2024-04-16 13:20,BM,WER,197,N,MT-1020,MT-D,"1호기 재발, 표면 마모 확인"
WO-2024-00634,P1-CC2-SEG02,2024-04-16 10:23,2024-04-16 11:55,2024-04-16 14:08,BM,,132,Y,MT-1024,MT-D,
WO-2024-00635,P1-CR1-SPM01-MTR,2024-04-16 22:51,2024-04-17 01:02,2024-04-17 03:43,TBM,,0,Y,MT-1008,MT-B,"1호기 재발, 월간 점검 완료"
WO-2024-00636,P1-SP1-DCF01,2024-04-16 23:08,2024-04-17 00:07,2024-04-17 03:12,TBM,,0,Y,MT-1007,MT-B,
WO-2024-00637,P1-CC2-INS01,2024-04-16 23:30,2024-04-17 02:51,2024-04-17 07:21,TBM,,165,N,MT-1012,MT-B,TBM 점검
WO-2024-00638,P1-SM1-BOF01,2024-04-16 23:46,2024-04-17 00:51,2024-04-17 10:25,BM,WER,460,N,MT-1011,MT-B,
WO-2024-00639,P1-CR1-PKL01,2024-04-17 06:43,2024-04-17 10:29,2024-04-17 11:15,TBM,,25,Y,MT-1002,MT-A,"1호기 재발, 순회점검 후속"
WO-2024-00640,P1-CC1-SCC01,2024-04-17 14:54,2024-04-17 16:36,2024-04-17 20:42,TBM,,245,N,MT-1006,MT-A,"1호기 재발, TBM 점검"
WO-2024-00641,P1-SM1-BOF02,2024-04-17 22:03,2024-04-17 23:56,2024-04-18 04:50,TBM,,294,Y,MT-1015,MT-C,"2호기 재발, 정기점검 - 이상없음"
WO-2024-00642,P1-CC1-MLD01,2024-04-17 23:16,2024-04-18 00:45,2024-04-18 05:55,BM,WER,290,Y,MT-1017,MT-C,표면 마모 확인
WO-2024-00643,P1-CC2-SCC01,2024-04-18 02:58,2024-04-18 06:03,2024-04-18 08:10,TBM,MAL,115,N,MT-1022,MT-D,동작 불량
WO-2024-00644,P1-SP1-CRS01,2024-04-18 07:34,2024-04-21 04:07,2024-04-21 08:13,CBM,MAL,246,N,MT-1007,MT-B,제어 이상
WO-2024-00645,P1-CC1-PMP01,2024-04-18 14:58,2024-04-18 17:36,2024-04-18 20:45,TBM,,189,N,MT-1009,MT-B,순회점검 후속
WO-2024-00646,P1-CC1-INS01,2024-04-18 14:04,2024-04-18 16:44,2024-04-19 12:13,BM,SEL,1168,N,MT-1009,MT-B,SEAL 손상
WO-2024-00647,P1-BF1-BFR01,2024-04-18 16:41,2024-04-18 17:31,2024-04-19 00:48,BM,MAL,437,Y,MT-1008,MT-B,"1호기 재발, 동작 불량"
WO-2024-00648,P1-SP1-MIX01,2024-04-19 06:27,2024-04-19 11:59,2024-04-19 12:43,BM,WER,40,N,MT-1015,MT-C,마모량 초과
WO-2024-00649,P1-SM1-CRN01,2024-04-19 06:50,2024-04-19 11:04,2024-04-19 18:33,BM,,0,N,MT-1017,MT-C,확인 중
WO-2024-00650,P1-SM1-DCF01,2024-04-19 14:30,2024-04-19 17:58,2024-04-19 19:22,TBM,,84,Y,MT-1018,MT-C,"1호기 재발, 계획 점검 수행"
WO-2024-00651,P1-BF1-HSV01,2024-04-19 14:45,2024-04-24 17:49,2024-04-24 20:49,CBM,ELE,180,Y,MT-1018,MT-C,절연 저하
WO-2024-00652,P1-SP2-EXF01,2024-04-19 23:13,2024-04-21 05:10,2024-04-21 10:42,CBM,BRG,210,N,MT-1003,MT-A,이상음 발생
WO-2024-00653,P1-SP2-EXF01,2024-04-20 06:40,2024-04-21 06:48,2024-04-21 10:46,CBM,,238,N,MT-1019,MT-D,  재점검 필요 
WO-2024-00654,P1-SP1-BCV04,2024-04-20 06:45,2024-04-20 11:38,2024-04-20 13:20,BM,MAL,101,N,MT-1019,MT-D,
WO-2024-00655,P1-CC2-SEG04,2024-04-20 12:21,2024-04-20 16:02,2024-04-20 20:25,BM,WER,95,N,MT-1019,MT-D,
WO-2024-00656,P1-SP1-SCR02,2024-04-20 14:46,2024-04-20 15:34,2024-04-20 18:03,BM,,148,N,MT-1022,MT-D,원인 미상
WO-2024-00657,P1-SP1-AGT01-MTR,2024-04-20 22:52,2024-04-21 01:17,2024-04-21 05:15,TBM,,238,N,MT-1010,MT-B,순회점검 후속
WO-2024-00658,P1-CR1-CAL01,2024-04-20 23:47,2024-04-23 20:04,2024-04-23 21:44,CBM,MAL,100,N,MT-1009,MT-B,설비 트립
WO-2024-00659,P1-SP2-MIX02,2024-04-21 02:16,2024-04-21 07:39,2024-04-21 08:47,BM,BRG,40,N,MT-1013,MT-C,구동측 베어링 발열
WO-2024-00660,P1-BF2-BFR01,2024-04-21 07:15,2024-04-21 08:45,2024-04-21 12:31,TBM,,75,N,MT-1001,MT-A,점검 이상없음
WO-2024-00661,P1-SP1-CLR01,2024-04-21 14:25,2024-04-21 14:58,2024-04-21 17:18,TBM,ELE,0,Y,MT-1004,MT-A,"1호기 재발, ELE 이상"
WO-2024-00662,P1-CC1-LDT01,2024-04-21 19:26,2024-04-22 01:15,2024-04-22 06:27,BM,SEL,285,Y,MT-1016,MT-C,냉각수 누설
WO-2024-00663,P1-SP2-MIX01,2024-04-21 20:21,2024-04-22 00:04,2024-04-22 02:58,TBM,,145,Y,MT-1013,MT-C,"1호기 재발, 정기점검 실시"
WO-2024-00664,P1-CR1-INS01,2024-04-21 23:13,2024-04-22 01:30,2024-04-22 03:18,TBM,ELE,55,N,MT-1013,MT-C,"1호기 재발, 모터 과열"
WO-2024-00665,P1-BF1-BLW01,2024-04-22 05:31,2024-04-22 06:15,2024-04-22 07:34,BM,LUB,78,N,MT-1022,MT-D,"1호기 재발, 급유 불량"
WO-2024-00666,P1-CC2-TUN01,2024-04-22 15:10,2024-04-22 17:33,2024-04-22 19:45,TBM,,131,N,MT-1011,MT-B,TBM 점검
WO-2024-00667,P1-SP1-DCF02,2024-04-22 22:49,2024-04-23 03:25,2024-04-23 11:09,BM,SEL,300,Y,MT-1021,MT-D,"  2호기 재발, 패킹 누설 "
WO-2024-00668,P1-CR1-CAL01,2024-04-22 22:50,2024-04-24 06:55,2024-04-24 16:38,CBM,ETC,180,N,MT-1021,MT-D,현상 재현 안됨
WO-2024-00669,P1-CC1-EMS01,2024-04-22 23:23,2024-04-23 01:35,2024-04-23 06:03,TBM,,267,Y,MT-1024,MT-D,정기점검 - 이상없음
WO-2024-00670,P1-SM1-LFR01,2024-04-23 07:10,2024-04-23 09:00,2024-04-23 10:17,TBM,,77,N,MT-1015,MT-C,계획 점검 수행
WO-2024-00671,P1-BF2-HSV02,2024-04-23 14:46,2024-04-23 18:46,2024-04-23 21:34,BM,ELE,168,N,MT-1015,MT-C,절연 저하
WO-2024-00672,P1-SP2-EXF01,2024-04-23 19:57,2024-04-23 21:00,2024-04-24 00:01,TBM,,55,Y,MT-1005,MT-A,  TBM 점검 
WO-2024-00673,P1-SP2-MIX02,2024-04-23 22:32,2024-04-23 22:59,2024-04-24 01:07,TBM,,0,N,MT-1002,MT-A,TBM 점검
WO-2024-00674,P1-SP2-DCF02,2024-04-23 23:27,2024-04-24 00:38,2024-04-24 16:08,BM,WER,930,Y,MT-1001,MT-A,
WO-2024-00675,P1-BF2-BLW01,2024-04-23 23:59,2024-04-24 01:45,2024-04-24 04:35,TBM,,0,N,MT-1004,MT-A,"1호기 재발, 정기점검 - 이상없음"
WO-2024-00676,P1-BF2-HSV03,2024-04-24 03:32,2024-04-24 06:15,2024-04-24 07:22,TBM,,0,Y,MT-1007,MT-B,"3호기 재발, 순회점검 후속"
WO-2024-00677,P1-SP1-BCV01,2024-04-24 03:57,2024-04-30 14:50,2024-04-30 21:49,CBM,BRG,215,Y,MT-1009,MT-B,BRG소음 확인
WO-2024-00678,P1-SP2-SNM01,2024-04-24 07:57,2024-04-24 12:17,2024-04-24 20:55,BM,,518,N,MT-1023,MT-D,"1호기 재발, 특이사항"
WO-2024-00679,P1-SP2-CRS01,2024-04-24 15:38,2024-04-29 11:27,2024-04-29 13:36,CBM,WER,120,N,MT-1022,MT-D,  라이너 마모 
WO-2024-00680,P1-CR1-INS01,2024-04-25 07:43,2024-04-25 08:42,2024-04-25 13:15,BM,LUB,230,N,MT-1006,MT-A,
WO-2024-00681,P1-SP2-CLR01,2024-04-25 11:11,2024-04-25 16:47,2024-04-25 19:05,BM,ETC,137,N,MT-1002,MT-A,확인 중
WO-2024-00682,P1-SM1-RHD01,2024-04-25 14:51,2024-04-25 16:25,2024-04-25 20:26,TBM,,0,Y,MT-1002,MT-A,월간 점검 완료
WO-2024-00683,P1-CC2-SEG01,2024-04-25 20:35,2024-04-25 22:14,2024-04-26 00:45,TBM,WER,150,N,MT-1016,MT-C,
WO-2024-00684,P1-CR1-PMP01,2024-04-25 22:20,2024-04-25 23:47,2024-04-26 00:36,TBM,,48,N,MT-1015,MT-C,계획 점검 수행
WO-2024-00685,P1-SP1-SCR02,2024-04-26 06:27,2024-04-26 08:40,2024-04-26 09:15,BM,,34,N,MT-1010,MT-B,"2호기 재발, 특이사항"
WO-2024-00686,P1-CC1-SEG03,2024-04-26 07:22,2024-04-26 08:32,2024-04-26 11:19,TBM,SEL,0,N,MT-1010,MT-B,  패킹 누설 
WO-2024-00687,P1-CC2-PMP02,2024-04-26 07:23,2024-04-26 09:14,2024-04-26 10:02,TBM,,47,N,MT-1011,MT-B,순회점검 후속
WO-2024-00688,P1-CR1-TCM01,2024-04-26 07:35,2024-04-27 22:30,2024-04-28 04:57,CBM,LUB,387,N,MT-1011,MT-B,"1호기 재발, 그리스 부족"
WO-2024-00689,P1-CC1-TUN01,2024-04-26 09:19,2024-04-26 11:36,2024-04-26 16:32,TBM,,150,N,MT-1007,MT-B,계획 점검 수행
WO-2024-00690,P1-SP2-DCF01,2024-04-26 23:28,2024-04-27 00:37,2024-04-27 05:26,TBM,,288,N,MT-1022,MT-D,정기점검 - 이상없음
WO-2024-00691,P1-SP2-AGT01,2024-04-27 07:01,2024-05-04 06:04,2024-05-04 13:02,CBM,ELE,418,N,MT-1013,MT-C,ELE 이상
WO-2024-00692,P1-CC2-SEG04,2024-04-27 14:05,2024-04-27 14:53,2024-04-27 18:37,TBM,WER,0,N,MT-1018,MT-C,"4호기 재발, 라이너 마모"
WO-2024-00693,P1-SP2-AGT01,2024-04-27 15:25,2024-04-27 17:06,2024-04-27 21:01,TBM,,0,Y,MT-1017,MT-C,
WO-2024-00694,P1-CC2-PMP01,2024-04-27 15:38,2024-05-03 12:04,2024-05-03 19:18,CBM,LUB,433,Y,MT-1014,MT-C,
WO-2024-00695,P1-CC2-EMS01,2024-04-27 17:32,2024-04-27 18:35,2024-04-27 19:46,TBM,,0,Y,MT-1015,MT-C,월간 점검 완료
WO-2024-00696,P1-CC2-LDT01,2024-04-27 22:51,2024-04-28 00:51,2024-04-28 01:46,TBM,,25,N,MT-1006,MT-A,
WO-2024-00697,P1-SM1-BOF01,2024-04-27 23:55,2024-04-28 02:06,2024-04-28 04:46,TBM,,85,Y,MT-1005,MT-A,  월간 점검 완료 
WO-2024-00698,P1-SP1-AGT01,2024-04-28 14:25,2024-04-28 17:12,2024-04-28 22:09,TBM,,0,Y,MT-1023,MT-D,"1호기 재발, 월간 점검 완료"
WO-2024-00699,P1-CR1-WLD01,2024-04-28 14:49,2024-04-28 16:06,2024-04-28 19:12,BM,SEL,186,N,MT-1024,MT-D,씰 누수
WO-2024-00700,P1-BF2-HSV03,2024-04-28 14:56,2024-04-28 18:40,2024-04-28 21:03,BM,ETC,143,N,MT-1020,MT-D,"3호기 재발, 재점검검 필요"
WO-2024-00701,P1-BF2-HSV02,2024-04-28 15:39,2024-04-28 20:52,2024-04-28 23:54,BM,WER,181,N,MT-1019,MT-D,표면 마모 확인
WO-2024-00702,P1-CC1-SEG03,2024-04-29 01:53,2024-04-29 03:57,2024-04-29 06:34,BM,LUB,95,N,MT-1016,MT-C,급유 불량
WO-2024-00703,P1-BF1-HSV03,2024-04-29 07:52,2024-04-29 13:27,2024-04-29 16:20,BM,MAL,172,N,MT-1006,MT-A,"3호기 재발, 제어 이상"
WO-2024-00704,P1-CC1-LDT01,2024-04-30 05:55,2024-04-30 08:59,2024-04-30 11:40,BM,,161,N,MT-1023,MT-D,특이사항
WO-2024-00705,P1-CC2-LDT01,2024-05-01 01:59,2024-05-01 03:43,2024-05-01 07:37,BM,ETC,233,N,MT-1002,MT-A,재점검 필요
WO-2024-00706,P1-CC1-MLD01,2024-05-01 04:39,2024-05-01 05:13,2024-05-01 06:22,TBM,,50,Y,MT-1003,MT-A,계획 점검 수행
WO-2024-00707,P1-CC1-SCC01,2024-05-01 22:43,2024-05-02 00:31,2024-05-02 01:43,BM,BRG,71,N,MT-1005,MT-A,이상음 발생
WO-2024-00708,P1-SP1-MIX01,2024-05-01 22:59,2024-05-01 23:55,2024-05-02 03:29,TBM,,0,N,MT-1001,MT-A,"1호기 재발, 월간 점검검 완료"
WO-2024-00709,P1-CC2-SEG03,2024-05-02 06:00,2024-05-02 08:19,2024-05-02 10:12,TBM,,0,N,MT-1020,MT-D,계획 점검 수행
WO-2024-00710,P1-CR1-SPM01,2024-05-02 06:01,2024-05-02 07:31,2024-05-02 11:08,TBM,,115,N,MT-1020,MT-D,정기점검 실시
WO-2024-00711,P1-SP2-EXF01-MTR,2024-05-02 06:13,2024-05-02 06:55,2024-05-02 07:51,TBM,,0,N,MT-1023,MT-D,점검 이상없음
WO-2024-00712,P1-CC1-SEG04,2024-05-02 07:51,2024-05-02 08:49,2024-05-02 11:50,BM,SEL,75,Y,MT-1019,MT-D,씰 누수
WO-2024-00713,P1-BF2-CAS01,2024-05-03 06:26,2024-05-03 11:23,2024-05-03 12:44,BM,WER,81,N,MT-1005,MT-A,마모 진행
WO-2024-00714,P1-SM1-BOF01,2024-05-03 12:42,2024-05-03 13:03,2024-05-04 02:11,BM,ETC,787,Y,MT-1003,MT-A,"1호기 재발, 재점검 필요"
WO-2024-00715,P1-CR1-TCM01,2024-05-03 14:46,2024-05-03 18:00,2024-05-03 22:42,TBM,,210,N,MT-1001,MT-A,정기점검 - 이상없음
WO-2024-00716,P1-SP1-BCV03,2024-05-03 20:17,2024-05-03 22:45,2024-05-04 07:23,BM,WER,518,Y,MT-1013,MT-C,"3호기 재발, WEAR 확인"
WO-2024-00717,P1-CR1-CAL01,2024-05-03 23:46,2024-05-04 04:50,2024-05-04 08:15,BM,MAL,205,N,MT-1015,MT-C,동작 불량
WO-2024-00718,P1-CR1-WLD01,2024-05-03 23:52,2024-05-04 01:58,2024-05-04 06:11,TBM,,252,N,MT-1016,MT-C,"1호기 재발, 점검검 이상없음"
WO-2024-00719,P1-SP1-EXF01-MTR,2024-05-04 07:53,2024-05-04 09:29,2024-05-04 13:02,TBM,LUB,212,N,MT-1008,MT-B,
WO-2024-00720,P1-SP1-DCF02,2024-05-05 06:27,2024-05-05 08:39,2024-05-05 10:15,TBM,,0,N,MT-1018,MT-C,월간 점검 완료
WO-2024-00721,P1-BF2-PCI01,2024-05-05 06:35,2024-05-05 10:18,2024-05-05 11:41,TBM,,83,N,MT-1015,MT-C,"  1호기 재발, 정기점검 - 이상없음 "
WO-2024-00722,P1-BF1-HSV01,2024-05-05 07:24,2024-05-05 10:40,2024-05-05 12:56,TBM,,0,Y,MT-1014,MT-C,순회점검 후속
WO-2024-00723,P1-SP1-CRS01,2024-05-05 11:32,2024-05-05 13:41,2024-05-05 16:19,TBM,,158,N,MT-1016,MT-C,"1호기 재발, 정기점검 - 이상없음"
WO-2024-00724,P1-BF1-PCI01,2024-05-05 15:48,2024-05-05 16:43,2024-05-05 19:44,TBM,WER,180,Y,MT-1013,MT-C,"1호기 재발, 마모 진행"
WO-2024-00725,P1-CR1-RCL01,2024-05-05 15:57,2024-05-05 19:45,2024-05-05 21:59,TBM,,133,N,MT-1014,MT-C,순회점검 후속
WO-2024-00726,P1-CC1-SEG02,2024-05-06 04:44,2024-05-06 05:14,2024-05-06 08:31,TBM,,170,Y,MT-1009,MT-B,정기점검 - 이상없음
WO-2024-00727,P1-CC2-PMP02,2024-05-06 05:02,2024-05-06 08:59,2024-05-06 16:53,BM,UNB,210,N,MT-1007,MT-B,회전체 밸런스 불량
WO-2024-00728,P1-SP1-EXF01,2024-05-06 06:51,2024-05-06 09:08,2024-05-06 12:16,TBM,,187,N,MT-1022,MT-D,정기점검 - 이상없음
WO-2024-00729,P1-BF2-CAS01,2024-05-06 22:09,2024-05-07 01:44,2024-05-07 05:26,TBM,,221,N,MT-1008,MT-B,  월간 점검검 완료 
WO-2024-00730,P1-SP2-CRS01,2024-05-06 07:19,2024-05-06 11:07,2024-05-06 13:01,TBM,,114,N,MT-1023,MT-D,"1호기 재발, 계획 점검 수행"
WO-2024-00731,P1-CR1-SPM01,2024-05-06 23:18,2024-05-08 12:01,2024-05-08 15:51,CBM,ETC,140,Y,MT-1007,MT-B,"1호기 재발, 현상 재현 안됨"
WO-2024-00732,P1-CR1-TCM01,2024-05-06 23:46,2024-05-13 20:24,2024-05-14 03:04,CBM,LUB,190,N,MT-1011,MT-B,
WO-2024-00733,P1-CC1-LDT01,2024-05-07 06:12,2024-05-07 09:04,2024-05-07 10:25,TBM,,81,N,MT-1006,MT-A,TBM 점검
WO-2024-00734,P1-SP1-BCV04,2024-05-07 07:27,2024-05-07 09:41,2024-05-07 12:06,BM,ETC,144,Y,MT-1001,MT-A,
WO-2024-00735,P1-SM1-LFR01,2024-05-07 07:54,2024-05-07 08:17,2024-05-07 09:42,BM,ETC,85,Y,MT-1001,MT-A,원인 미상
WO-2024-00736,P1-CC1-SEG04,2024-05-07 07:56,2024-05-07 12:58,2024-05-07 16:55,BM,SEL,90,N,MT-1006,MT-A,"  4호기 재발, 씰 누수 "
WO-2024-00737,P1-CR1-PMP03,2024-05-07 09:15,2024-05-07 11:40,2024-05-07 14:42,BM,BRG,95,N,MT-1002,MT-A,이상음 발생
WO-2024-00738,P1-SM1-CRN02,2024-05-07 13:07,2024-05-07 15:04,2024-05-07 17:27,TBM,,143,N,MT-1003,MT-A,"2호기 재발, 정기점검 - 이상없음"
WO-2024-00739,P1-SP1-IGF01,2024-05-07 14:14,2024-05-07 17:22,2024-05-07 20:45,TBM,,203,Y,MT-1003,MT-A,  월간 점검 완료 
WO-2024-00740,P1-SP1-MIX01,2024-05-07 14:32,2024-05-07 15:45,2024-05-07 18:46,BM,MAL,115,N,MT-1002,MT-A,"1호기 재발, 설비 트립"
